transformed_feature,coefficient,feature,feature_type,odds_ratio,absolute_coefficient
categorical__rusher_position_lined_up_NRT,-0.8438484171022586,rusher_position_lined_up_NRT,categorical_one_hot,0.4300523140546976,0.8438484171022586
categorical__rusher_position_lined_up_NLT,-0.7211529938629707,rusher_position_lined_up_NLT,categorical_one_hot,0.4861913570147215,0.7211529938629707
categorical__rusher_position_lined_up_SCBiL,0.5626111270341181,rusher_position_lined_up_SCBiL,categorical_one_hot,1.7552497018162192,0.5626111270341181
categorical__rusher_position_lined_up_LCB,-0.4953333112581549,rusher_position_lined_up_LCB,categorical_one_hot,0.6093677643070671,0.4953333112581549
numeric__rusher_qb_distance,0.46353186680850794,rusher_qb_distance,numeric_standardized,1.5896786149014255,0.46353186680850794
categorical__rusher_position_lined_up_DLT,-0.45171983988056513,rusher_position_lined_up_DLT,categorical_one_hot,0.6365324757612341,0.45171983988056513
categorical__rusher_position_lined_up_SCBoL,0.4428137329433077,rusher_position_lined_up_SCBoL,categorical_one_hot,1.557082274196051,0.4428137329433077
categorical__rusher_position_lined_up_NT,-0.429973307955185,rusher_position_lined_up_NT,categorical_one_hot,0.6505264583729601,0.429973307955185
categorical__rusher_position_lined_up_DRT,-0.4191504126748959,rusher_position_lined_up_DRT,categorical_one_hot,0.6576052756600843,0.4191504126748959
categorical__rusher_position_lined_up_SCBL,0.3368265943510259,rusher_position_lined_up_SCBL,categorical_one_hot,1.4004961887307021,0.3368265943510259
categorical__rusher_position_lined_up_LLB,0.3282296089174488,rusher_position_lined_up_LLB,categorical_one_hot,1.3885077494521934,0.3282296089174488
numeric__rusher_qb_absolute_lateral_gap,-0.29629034602052184,rusher_qb_absolute_lateral_gap,numeric_standardized,0.7435715036482478,0.29629034602052184
categorical__rusher_position_lined_up_MLB,0.27164460657345757,rusher_position_lined_up_MLB,categorical_one_hot,1.3121205994020726,0.27164460657345757
categorical__rusher_position_lined_up_LILB,0.25662655293402964,rusher_position_lined_up_LILB,categorical_one_hot,1.2925623330051645,0.25662655293402964
numeric__rusher_velocity_toward_qb,0.21765093122596177,rusher_velocity_toward_qb,numeric_standardized,1.2431530459620694,0.21765093122596177
numeric__nearest_blocker_direction_to_rusher_alignment,-0.1929867757736825,nearest_blocker_direction_to_rusher_alignment,numeric_standardized,0.8244928773474219,0.1929867757736825
numeric__rusher_blocker_closing_speed,-0.17079787829671006,rusher_blocker_closing_speed,numeric_standardized,0.8429919432207514,0.17079787829671006
numeric__nearest_blocker_direction_sin,0.15721758812940062,nearest_blocker_direction_sin,numeric_standardized,1.1702502187564419,0.15721758812940062
numeric__rusher_velocity_x,-0.1549166908626401,rusher_velocity_x,numeric_standardized,0.8564865276652914,0.1549166908626401
categorical__rusher_position_lined_up_RE,-0.15203669449471438,rusher_position_lined_up_RE,categorical_one_hot,0.8589567611784968,0.15203669449471438
