model,split,rows,positives,prevalence,average_precision,roc_auc,log_loss,configuration_id,fold,train_weeks,validation_week,fit_seconds,predict_seconds,minimum_probability,maximum_probability
ExtraTrees,temporal_validation_week_4,4733,557,0.11768434396788506,0.14072436721206816,0.5500969032240313,0.3681783595922963,ExtraTrees_C01,1,"1, 2, 3",4,1.2759225000045262,0.144529600001988,0.01,0.52
ExtraTrees,temporal_validation_week_5,4681,528,0.11279641102328562,0.14687044075263453,0.5584195707374734,0.3550981775110998,ExtraTrees_C01,2,"1, 2, 3, 4",5,1.6247172000003047,0.14595470001222566,0.0033333333333333335,0.4666666666666667
ExtraTrees,temporal_validation_week_6,4241,473,0.11153029945767508,0.14474401560095745,0.5811725984478169,0.34879763089862864,ExtraTrees_C01,3,"1, 2, 3, 4, 5",6,2.125316199992085,0.11027239999384619,0.013333333333333334,0.52
ExtraTrees,temporal_validation_week_4,4733,557,0.11768434396788506,0.14751504372667062,0.5692840855155905,0.3615354399013495,ExtraTrees_C02,1,"1, 2, 3",4,1.1345765000005485,0.10014309998950921,0.020243887743370895,0.41412793317793317
ExtraTrees,temporal_validation_week_5,4681,528,0.11279641102328562,0.15211526763053695,0.5780728972849127,0.34991662167167226,ExtraTrees_C02,2,"1, 2, 3, 4",5,1.4439214000012726,0.11192229999869596,0.014613746613746613,0.3932489393418187
ExtraTrees,temporal_validation_week_6,4241,473,0.11153029945767508,0.14858372471661513,0.5896466516744994,0.34574214040288853,ExtraTrees_C02,3,"1, 2, 3, 4, 5",6,1.8995341999980155,0.11037330000544898,0.02239507548007548,0.4060820297531469
ExtraTrees,temporal_validation_week_4,4733,557,0.11768434396788506,0.15348855670347125,0.5858724213596374,0.35765144871444104,ExtraTrees_C03,1,"1, 2, 3",4,0.9206058999989182,0.10112110000045504,0.031129876542723825,0.3204204344433708
ExtraTrees,temporal_validation_week_5,4681,528,0.11279641102328562,0.15942800613998478,0.5907699983217681,0.34736375164326966,ExtraTrees_C03,2,"1, 2, 3, 4",5,1.1996209999924758,0.10203480000200216,0.026493995417132415,0.319230391223074
ExtraTrees,temporal_validation_week_6,4241,473,0.11153029945767508,0.15004379054931752,0.5922461543295494,0.34465378607963026,ExtraTrees_C03,3,"1, 2, 3, 4, 5",6,1.590242499994929,0.1221774000005098,0.03109190593718597,0.2937420192661544
ExtraTrees,temporal_validation_week_4,4733,557,0.11768434396788506,0.1536092394359087,0.5917928042262532,0.35709920313798643,ExtraTrees_C04,1,"1, 2, 3",4,0.8743149999936577,0.11081040000135545,0.039243329055634095,0.2889973031990683
ExtraTrees,temporal_validation_week_5,4681,528,0.11279641102328562,0.1563294260276475,0.5944785259286824,0.3472407691747291,ExtraTrees_C04,2,"1, 2, 3, 4",5,1.1146141000062926,0.11273629999777768,0.0375997699121666,0.27710072346806025
ExtraTrees,temporal_validation_week_6,4241,473,0.11153029945767508,0.15195373996632777,0.595011176795357,0.3443698856852806,ExtraTrees_C04,3,"1, 2, 3, 4, 5",6,1.3929691000084858,0.08866970000963192,0.04391505958517125,0.25915018395015466
ExtraTrees,temporal_validation_week_4,4733,557,0.11768434396788506,0.13969681362697484,0.5570269454590479,0.37706112501482025,ExtraTrees_C05,1,"1, 2, 3",4,3.4246650999994017,0.12247289999504574,0.0,0.6466666666666666
ExtraTrees,temporal_validation_week_5,4681,528,0.11279641102328562,0.1519227474550062,0.5699653955884392,0.3559279754813642,ExtraTrees_C05,2,"1, 2, 3, 4",5,4.778223100001924,0.13439360000484157,0.0033333333333333335,0.57
ExtraTrees,temporal_validation_week_6,4241,473,0.11153029945767508,0.14054801308493922,0.5717334805618023,0.3541521938846537,ExtraTrees_C05,3,"1, 2, 3, 4, 5",6,6.139540100004524,0.14466870001342613,0.01,0.6866666666666666
ExtraTrees,temporal_validation_week_4,4733,557,0.11768434396788506,0.14514719219989444,0.5717086007415203,0.3644123514361275,ExtraTrees_C06,1,"1, 2, 3",4,3.0166262999991886,0.11327309999614954,0.00861111111111111,0.6008888888888887
ExtraTrees,temporal_validation_week_5,4681,528,0.11279641102328562,0.15158927897869867,0.5793085411057359,0.3514522210516269,ExtraTrees_C06,2,"1, 2, 3, 4",5,4.988780200001202,0.10481309999886435,0.005888888888888889,0.4835555555555556
ExtraTrees,temporal_validation_week_6,4241,473,0.11153029945767508,0.1437927924287358,0.5838054856070706,0.3488633022991406,ExtraTrees_C06,3,"1, 2, 3, 4, 5",6,5.695776500011561,0.1669267000106629,0.011666666666666667,0.5478333333333334
ExtraTrees,temporal_validation_week_4,4733,557,0.11768434396788506,0.1484412540347981,0.5747827201001534,0.3610757609234657,ExtraTrees_C07,1,"1, 2, 3",4,2.6774626999977045,0.1573567000014009,0.013175136844355449,0.44041036792584776
ExtraTrees,temporal_validation_week_5,4681,528,0.11279641102328562,0.1528346959620756,0.5825836014856,0.3497009419287348,ExtraTrees_C07,2,"1, 2, 3, 4",5,3.653102600001148,0.12339829999837093,0.014803898429285428,0.42531612185207895
ExtraTrees,temporal_validation_week_6,4241,473,0.11153029945767508,0.1511946089759933,0.5907373991731866,0.34552924517075806,ExtraTrees_C07,3,"1, 2, 3, 4, 5",6,4.877938699995866,0.11367940000491217,0.017438491147082482,0.41916364562285985
ExtraTrees,temporal_validation_week_4,4733,557,0.11768434396788506,0.15033225861843408,0.579222469854241,0.3591879828031449,ExtraTrees_C08,1,"1, 2, 3",4,1.0306084000039846,0.10113739999360405,0.015268268946879469,0.399910114410083
ExtraTrees,temporal_validation_week_5,4681,528,0.11279641102328562,0.15483797328820859,0.5869501966449956,0.34833633289588883,ExtraTrees_C08,2,"1, 2, 3, 4",5,1.2833050999906845,0.12311590000172146,0.012511583909440908,0.3869896805643693
ExtraTrees,temporal_validation_week_6,4241,473,0.11153029945767508,0.1499319834656274,0.5920890507803557,0.3452674468172704,ExtraTrees_C08,3,"1, 2, 3, 4, 5",6,1.6075301000091713,0.11048600000503939,0.0207545687650877,0.4086870232661793
ExtraTrees,temporal_validation_week_4,4733,557,0.11768434396788506,0.14939748641400213,0.5762053144582706,0.3607519367308643,ExtraTrees_C09,1,"1, 2, 3",4,2.5857888000027742,0.09031870000762865,0.014928105033368198,0.4529824564267291
ExtraTrees,temporal_validation_week_5,4681,528,0.11279641102328562,0.1551139623903387,0.581878561682318,0.3493554171765005,ExtraTrees_C09,2,"1, 2, 3, 4",5,3.4501748999900883,0.11097910000535194,0.010825989541933817,0.4218451947662471
ExtraTrees,temporal_validation_week_6,4241,473,0.11153029945767508,0.15086039865295608,0.5914589533312685,0.34537352930991344,ExtraTrees_C09,3,"1, 2, 3, 4, 5",6,4.641772500006482,0.10986600001342595,0.021398285495034725,0.4225402294611169
ExtraTrees,temporal_validation_week_4,4733,557,0.11768434396788506,0.15579646180814954,0.5919260784030486,0.35702146393540996,ExtraTrees_C10,1,"1, 2, 3",4,0.7107015999936266,0.09072550000564661,0.039114663727351055,0.30990318875556283
ExtraTrees,temporal_validation_week_5,4681,528,0.11279641102328562,0.15763256325016156,0.5959073032273129,0.3472576134527519,ExtraTrees_C10,2,"1, 2, 3, 4",5,0.9157580000028247,0.09040499999537133,0.03687541893709156,0.30715572994393275
