model,configuration_id,folds,mean_average_precision,std_average_precision,minimum_average_precision,mean_roc_auc,std_roc_auc,mean_log_loss,std_log_loss,total_fit_seconds,family_rank,learning_rate,max_iter,max_leaf_nodes,min_samples_leaf,l2_regularization,max_depth,max_features,class_weight
ExtraTrees,ExtraTrees_C10,3,0.1551906232719715,0.0022817438551573452,0.15214284475760342,0.5948530771494486,0.002096504372575989,0.3496281120404301,0.005338850411335695,2.78906619999907,1.0,,,,10.0,,12.0,sqrt,
ExtraTrees,ExtraTrees_C03,3,0.15432011779759117,0.0038759511480384702,0.15004379054931752,0.5896295246703183,0.0027241669191607294,0.3498896621457803,0.0055988079917133156,3.710469399986323,2.0,,,,10.0,,,sqrt,
ExtraTrees,ExtraTrees_C04,3,0.15396413514329466,0.0018039069357273108,0.15195373996632777,0.5937608356500975,0.0014084956514833556,0.3495699526659987,0.005451464788167332,3.381898200008436,3.0,,,,25.0,,,sqrt,
ExtraTrees,ExtraTrees_C09,3,0.15179061581909897,0.00242466525238,0.14939748641400213,0.5831809431572856,0.006294999224077926,0.35182696107242606,0.006516913923185037,10.677736199999345,4.0,,,,10.0,,24.0,0.5,
ExtraTrees,ExtraTrees_C08,3,0.15170073845742335,0.0022243705981854207,0.1499319834656274,0.5860872390931974,0.0052880839620300275,0.3509305875054347,0.0059717640201127214,3.9214436000038404,5.0,,,,3.0,,24.0,sqrt,
ExtraTrees,ExtraTrees_C07,3,0.15082351965762233,0.001812707634773045,0.1484412540347981,0.58270124025298,0.00651400159863677,0.3521019826743195,0.006569996727993369,11.208503999994718,6.0,,,,10.0,,,0.5,
ExtraTrees,ExtraTrees_C02,3,0.14940467869127425,0.001965704125380561,0.14751504372667062,0.5790012114916675,0.008338858858534227,0.3523980673253034,0.006682078352377386,4.478032099999837,7.0,,,,3.0,,,sqrt,
ExtraTrees,ExtraTrees_C06,3,0.14684308786910963,0.0034013082994229474,0.1437927924287358,0.5782742091514422,0.004992396739466227,0.3549092915956316,0.006802290537055754,13.701183000011952,8.0,,,,3.0,,,0.5,
ExtraTrees,ExtraTrees_C01,3,0.1441129411885534,0.0025484957886311257,0.14072436721206816,0.5632296908031071,0.013134627255078149,0.3573580560006749,0.008071903916884428,5.025955899996916,9.0,,,,1.0,,,sqrt,
ExtraTrees,ExtraTrees_C05,3,0.1440558580556401,0.005573574361556737,0.13969681362697484,0.5662419405364298,0.006555843796460674,0.3623804314602794,0.010406101495486755,14.34242830000585,10.0,,,,1.0,,,0.5,
ExtraTrees,ExtraTrees_C11,3,0.14312864588342825,0.003189483076411392,0.13887387853093483,0.5785580811607883,0.0037172576412855467,0.48049199717332297,0.004770381651596969,4.2022219999926165,11.0,,,,3.0,,24.0,sqrt,balanced
ExtraTrees,ExtraTrees_C12,3,0.13949157696735884,0.003594402274414586,0.1348696552478355,0.571685978380574,0.004816743160593386,0.42899772348803955,0.0024757349921841654,12.236897199996747,12.0,,,,3.0,,24.0,0.5,balanced
HistGradientBoosting,HistGradientBoosting_C07,3,0.15010495319159248,0.0019406980165171171,0.14757924201726574,0.5768033924160546,0.0052833237302711495,0.3536854792643486,0.00765413258400112,2.524928300001193,1.0,0.06,250.0,15.0,20.0,1.0,,,
HistGradientBoosting,HistGradientBoosting_C11,3,0.14944784145128442,0.005888445321124265,0.1426325183055071,0.577173493052313,0.00886981980084073,0.3530160858203129,0.00787688755825089,6.475877699980629,2.0,0.03,400.0,15.0,20.0,1.0,,,
HistGradientBoosting,HistGradientBoosting_C10,3,0.14902782506652557,0.0077813052262513515,0.13933466942906583,0.5769726191052705,0.014055073721754826,0.3556595959573277,0.01011920474041649,10.882859199991799,3.0,0.03,400.0,31.0,50.0,1.0,,,
